,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CHAFFEY,Paringa,94,19,59,16,270,24,198,48,172,64,80,28,10,4,3,0,1,1,1,0,0,1,1,0,0,4,78,14,3,5,6,23,2,13,8,22,8,5,9,19,1
CHAFFEY,Ramco,59,7,40,12,213,10,168,35,121,50,58,13,15,4,2,0,2,5,2,2,1,3,3,0,0,3,60,9,5,1,3,14,4,7,3,15,3,4,8,22,0
CHAFFEY,Renmark,353,64,203,86,550,63,231,256,420,199,146,75,48,21,10,5,6,4,1,1,2,14,6,3,5,9,246,43,12,9,22,59,9,18,32,70,17,15,38,74,11
CHAFFEY,Renmark North,70,9,47,14,185,21,145,19,145,52,60,33,10,3,1,0,2,2,1,1,0,4,2,1,1,1,64,14,3,7,4,13,1,3,9,16,6,5,5,21,0
CHAFFEY,Renmark West,120,26,82,12,254,30,195,29,247,89,117,41,11,2,0,1,1,4,0,1,3,5,3,1,1,0,90,17,6,3,8,17,0,11,6,34,9,13,12,22,0
CHAFFEY,Sedan,23,1,17,5,58,6,46,6,35,14,12,9,4,3,3,0,0,0,0,0,0,0,0,0,0,1,24,2,1,0,1,7,1,3,3,11,2,2,7,4,0
CHAFFEY,Swan Reach,43,4,35,4,73,5,50,18,49,18,23,8,7,2,1,0,1,2,0,1,1,3,2,1,0,0,17,3,1,1,1,5,1,3,1,3,0,1,2,6,0
CHAFFEY,Waikerie,223,21,160,42,629,50,491,88,494,197,217,80,33,10,5,3,2,8,5,1,2,10,5,3,2,5,199,34,14,5,15,47,2,31,14,69,20,19,30,49,7
CHAFFEY,Winkie,34,6,22,6,74,7,52,15,70,24,34,12,6,5,2,1,2,0,0,0,0,1,1,0,0,0,29,3,2,0,1,6,0,3,3,13,3,5,5,7,1
CHELTENHAM,Albert Park,416,58,203,155,227,41,156,30,190,95,66,29,62,34,18,3,13,6,4,1,1,18,13,1,4,4,146,42,16,10,16,30,2,11,17,30,9,9,12,44,1
CHELTENHAM,Cheltenham,536,63,261,212,308,62,196,50,306,174,89,43,92,59,27,5,27,4,2,2,0,22,13,5,4,7,189,36,14,6,16,50,16,18,16,57,20,13,24,46,4
CHELTENHAM,Findon,603,96,279,228,370,72,251,47,297,147,105,45,70,48,23,7,18,2,1,0,1,19,13,3,3,1,155,33,12,8,13,41,10,16,15,38,10,6,22,43,8
CHELTENHAM,Findon West,607,115,264,228,335,77,141,117,209,112,74,23,56,33,16,6,11,4,2,0,2,15,8,4,3,4,121,35,12,7,16,23,6,12,5,32,9,11,12,31,3
CHELTENHAM,Pennington,810,192,342,276,206,62,108,36,179,101,48,30,66,36,14,5,17,4,3,0,1,19,9,5,5,7,161,52,16,10,26,30,10,13,7,34,15,10,9,45,9
CHELTENHAM,Queenstown,591,68,297,226,267,52,172,43,254,132,76,46,75,46,26,5,15,1,0,1,0,21,13,3,5,7,195,31,16,3,12,44,17,13,14,65,26,15,24,55,6
CHELTENHAM,Rosewater,738,93,329,316,303,69,178,56,314,178,94,42,99,61,29,8,24,4,3,0,1,25,21,3,1,9,191,53,23,10,20,40,15,15,10,52,15,9,28,46,2
CHELTENHAM,Woodville South,662,86,321,255,480,97,324,59,354,189,120,45,99,51,30,7,14,7,4,2,1,33,26,2,5,8,163,47,16,11,20,31,4,14,13,47,15,7,25,38,2
CHELTENHAM,Woodville West,556,88,289,179,320,62,207,51,292,147,110,35,58,29,12,6,11,3,2,0,1,22,13,2,7,4,146,39,11,10,18,30,7,12,11,39,15,5,19,38,5
COLTON,Fulham,251,37,139,75,454,52,339,63,192,100,78,14,57,24,12,3,9,3,2,1,0,21,20,0,1,9,58,12,6,2,4,16,4,6,6,15,5,4,6,15,1
COLTON,Fulham Gardens,877,108,414,355,1052,163,736,153,515,271,188,56,119,75,34,13,28,10,6,3,1,25,12,9,4,9,190,47,15,8,24,52,12,21,19,47,17,16,14,44,7
COLTON,Glenelg North,481,71,238,172,1024,149,736,139,377,182,155,40,149,88,41,14,33,19,13,1,5,38,28,4,6,4,135,27,9,7,11,47,10,17,20,39,20,13,6,22,5
COLTON,Henley Beach,525,75,280,170,924,101,688,135,358,169,145,44,127,76,36,14,26,9,4,2,3,39,25,5,9,3,103,26,9,3,14,27,7,12,8,31,14,7,10,19,1
COLTON,Henley South,459,60,235,164,755,119,536,100,308,158,130,20,134,73,35,14,24,10,2,5,3,45,32,6,7,6,113,24,10,2,12,24,3,13,8,39,17,10,12,26,4
COLTON,Kidman Park,809,115,379,315,966,152,670,144,517,264,196,57,69,47,24,9,14,4,2,1,1,13,9,3,1,5,185,44,14,7,23,44,10,20,14,55,15,18,22,42,7
COLTON,Lockleys,413,63,195,155,768,93,574,101,269,120,115,34,63,34,17,5,12,3,2,0,1,20,12,3,5,6,120,19,8,5,6,52,9,19,24,25,6,6,13,24,2
COLTON,West Beach,522,72,259,191,1093,157,784,152,388,191,153,44,88,55,24,6,25,5,4,1,0,23,12,5,6,5,132,26,7,6,13,45,9,25,11,36,8,13,15,25,0
CROYDON,Brompton,537,86,293,158,456,104,301,51,274,156,87,31,230,143,62,18,63,6,4,1,1,72,55,5,12,9,108,31,10,2,19,17,4,4,9,35,17,7,11,25,2
CROYDON,Croydon (Adelaide),121,16,67,38,60,16,32,12,57,33,19,5,29,22,11,4,7,0,0,0,0,7,5,0,2,0,15,5,2,1,2,2,0,2,0,6,2,1,3,2,0
CROYDON,Croydon Park,674,136,335,203,268,89,135,44,185,102,58,25,53,32,17,4,11,2,1,1,0,16,9,3,4,3,137,37,15,9,13,30,3,9,18,44,15,9,20,26,2
CROYDON,Kilkenny North (Adelaide),147,22,84,41,53,18,20,15,47,25,15,7,8,5,0,2,3,0,0,0,0,2,2,0,0,1,28,11,5,1,5,3,0,0,3,7,2,2,3,7,0
CROYDON,Renown Park,665,102,304,259,331,65,201,65,230,115,67,48,142,92,42,11,39,7,5,0,2,34,24,2,8,9,140,37,20,2,15,26,10,8,8,42,12,12,18,35,7
CROYDON,Allenby Gardens,586,76,299,211,346,67,240,39,345,191,115,39,119,69,35,8,26,7,2,1,4,36,29,2,5,7,162,39,14,16,9,28,6,14,8,49,22,7,20,46,3
